Model,MAE,MSE,RMSE,R2,CV RMSE
Linear Regression,23567.890565943388,1414931404.6297858,37615.57396384888,0.8155317822983865,36619.18507924694
Ridge,23435.503712008234,1404264216.8595583,37473.51353769164,0.8169224907874508,36565.45574960406
Lasso,23560.45808027236,1414337628.502095,37607.680445649596,0.815609194407292,36610.25802933441
Random Forest,18189.04097684279,959940240.0120977,30982.90238199284,0.8748501414304088,32335.583470716316
XGBoost,18794.585683326197,879140588.812824,29650.305037432987,0.8853841981337032,33910.47741658485
